iter	Logloss
0	0.5206820374
1	0.423240921
2	0.3549574356
3	0.2990726852
4	0.2622196121
5	0.2304885597
6	0.2106778488
7	0.194151947
8	0.1804747467
9	0.1701817207
10	0.1615606384
11	0.1522615585
12	0.1451567459
13	0.1380092735
14	0.1327814445
15	0.1277904205
16	0.1237444954
17	0.1207528
18	0.1171156101
19	0.1139686413
20	0.1111318302
21	0.1090578251
22	0.105208437
23	0.103085474
24	0.100747776
25	0.09865474701
26	0.0968636837
27	0.09465613747
28	0.09250609398
29	0.0905625267
30	0.08885626411
31	0.08751226807
32	0.08606702614
33	0.08464587784
34	0.08325192261
35	0.08212301064
36	0.08016885948
37	0.07893492699
38	0.07788639069
39	0.07671866035
40	0.07550026512
41	0.07447889328
42	0.07324302101
43	0.07240343475
44	0.07139472771
45	0.07036312866
46	0.06931946182
47	0.06801492119
48	0.06719887352
49	0.06610195923
50	0.0651399231
51	0.06443912029
52	0.06321615791
53	0.06230724239
54	0.06122267056
55	0.06042445564
56	0.05984051991
57	0.05925218868
58	0.05855345631
59	0.05777089691
60	0.0572755518
61	0.05658634949
62	0.05599554348
63	0.0551975441
64	0.0543963995
65	0.05376116085
66	0.05321221161
67	0.05257091713
68	0.05196604347
69	0.05158721447
70	0.05101693916
71	0.05053485012
72	0.04992205524
73	0.04948128986
74	0.04901712227
75	0.04864532185
76	0.0481402998
77	0.04753960609
78	0.04698811626
79	0.0464041872
80	0.04584214115
81	0.04542887783
82	0.04491634274
83	0.04443391705
84	0.04382266808
85	0.04337342834
86	0.04299147034
87	0.0426070528
88	0.04215746784
89	0.04171582413
90	0.04119849968
91	0.04089510059
92	0.04049610424
93	0.04006102562
94	0.0396387291
95	0.03913529682
96	0.03870809078
97	0.03831555748
98	0.03789242363
99	0.03754665947
100	0.03719692421
101	0.03682037067
102	0.03636839771
103	0.0360818634
104	0.03576387596
105	0.03531606102
106	0.03492010307
107	0.03474165821
108	0.03445792866
109	0.03395798779
110	0.03359274101
111	0.03332979202
112	0.03301473045
113	0.03259543037
114	0.03225099039
115	0.03188063478
116	0.03157655001
117	0.03133347654
118	0.03095325994
119	0.03079266119
120	0.03052259159
121	0.03021285295
122	0.02991896057
123	0.02968305254
124	0.02938944769
125	0.02914294243
126	0.02897038937
127	0.02865281487
128	0.02841581917
129	0.02806203461
130	0.02776257706
131	0.02756527138
132	0.02730122375
133	0.02704795694
134	0.02676715422
135	0.02659586906
136	0.02638962984
137	0.02629195023
138	0.02611430979
